epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0801,1.95397,6.58838,0.02796,0.00832,0.42857,0.14529,0.02906,2.06752,5.49117,0.03109,0,0,0
2,12.3221,1.90532,5.07387,0.01908,0.00889,0.42857,0.14524,0.0292,2.08166,5.49846,0.03117,8.79003e-06,8.79003e-06,8.79003e-06
3,18.5595,2.17944,5.11308,0.02102,0.01158,0.57143,0.07546,0.01554,2.02929,5.48588,0.03032,1.69801e-05,1.69801e-05,1.69801e-05
4,25.1391,2.07715,5.02165,0.01836,0.0154,0.57143,0.07527,0.01553,2.00452,5.47463,0.02969,2.45703e-05,2.45703e-05,2.45703e-05
5,31.3435,1.90161,5.13764,0.01859,0.01536,0.57143,0.14635,0.02988,1.96295,5.45346,0.02923,3.15605e-05,3.15605e-05,3.15605e-05
6,37.6315,1.88903,5.93396,0.02823,0.01783,0.57143,0.07521,0.01569,1.87704,5.41708,0.02862,3.79507e-05,3.79507e-05,3.79507e-05
7,44.1146,1.78303,5.21229,0.01723,0.02131,0.57143,0.07534,0.02055,1.87616,5.33199,0.02797,4.37411e-05,4.37411e-05,4.37411e-05
8,50.5362,1.85823,5.64117,0.02261,0.03908,0.57143,0.07695,0.01585,1.74143,5.29298,0.02588,4.89315e-05,4.89315e-05,4.89315e-05
9,56.9478,1.90703,5.33092,0.02162,0.02604,0.28571,0.07348,0.01518,1.61754,5.24861,0.02448,5.35219e-05,5.35219e-05,5.35219e-05
10,66.0762,1.81674,5.30464,0.0194,0.02161,0.57143,0.0757,0.02033,1.52736,5.22564,0.02336,5.75124e-05,5.75124e-05,5.75124e-05
11,70.6784,1.85503,5.20763,0.0163,0.02144,0.57143,0.07585,0.02323,1.4893,5.21888,0.02256,6.0903e-05,6.0903e-05,6.0903e-05
12,75.4119,1.36893,6.01579,0.01587,0.03896,0.57143,0.07591,0.02344,1.57578,5.24323,0.02333,6.36936e-05,6.36936e-05,6.36936e-05
13,79.9837,1.7742,4.6774,0.01498,0.03899,0.57143,0.07726,0.02385,1.42642,5.24383,0.01975,6.58843e-05,6.58843e-05,6.58843e-05
14,86.0669,1.57625,4.8675,0.01464,0.03888,0.57143,0.14819,0.04551,1.29819,5.20873,0.01972,6.74751e-05,6.74751e-05,6.74751e-05
15,90.5427,1.6161,5.27842,0.01959,0.07464,0.57143,0.07826,0.02476,1.1951,5.17533,0.01864,6.84659e-05,6.84659e-05,6.84659e-05
16,93.7936,1.9516,5.58158,0.01394,0.07464,0.57143,0.07947,0.02599,1.13276,5.15273,0.01851,6.88568e-05,6.88568e-05,6.88568e-05
17,105.908,1.91378,5.25375,0.01734,0.07453,0.57143,0.16353,0.05185,1.19113,5.17036,0.0188,6.86477e-05,6.86477e-05,6.86477e-05
18,110.51,1.49928,5.223,0.01451,0.07453,0.57143,0.16353,0.05185,1.19113,5.17036,0.0188,6.78387e-05,6.78387e-05,6.78387e-05
19,114.344,1.56986,5.33517,0.01398,0.07434,0.57143,0.16376,0.06894,1.22821,5.17469,0.0195,6.64297e-05,6.64297e-05,6.64297e-05
20,117.857,1.74044,4.81699,0.01342,0.07434,0.57143,0.16376,0.06894,1.22821,5.17469,0.0195,6.44208e-05,6.44208e-05,6.44208e-05
21,121.607,1.74735,6.648,0.01437,0.07422,0.57143,0.09285,0.03988,1.25007,5.17847,0.01857,6.1812e-05,6.1812e-05,6.1812e-05
22,124.844,1.51308,6.36551,0.01588,0.07422,0.57143,0.09285,0.03988,1.25007,5.17847,0.01857,5.86032e-05,5.86032e-05,5.86032e-05
23,128.615,1.31423,6.18324,0.01341,0.0979,0.71429,0.1248,0.05828,1.2011,5.16197,0.01782,5.47945e-05,5.47945e-05,5.47945e-05
24,131.543,1.64207,6.46177,0.01383,0.0979,0.71429,0.1248,0.05828,1.2011,5.16197,0.01782,5.03859e-05,5.03859e-05,5.03859e-05
25,134.256,1.62838,6.46581,0.01619,0.02302,0.57143,0.04832,0.03004,1.15714,5.14743,0.01722,4.53773e-05,4.53773e-05,4.53773e-05
26,136.65,1.50934,6.19327,0.01572,0.02302,0.57143,0.04832,0.03004,1.15714,5.14743,0.01722,3.97687e-05,3.97687e-05,3.97687e-05
27,139.088,1.31712,6.25199,0.01837,0.01848,0.57143,0.06358,0.04385,1.16577,5.14697,0.01725,3.35603e-05,3.35603e-05,3.35603e-05
28,141.715,1.78887,6.68849,0.01324,0.01848,0.57143,0.06358,0.04385,1.16577,5.14697,0.01725,2.67519e-05,2.67519e-05,2.67519e-05
29,143.897,1.23954,6.21194,0.01189,0.01846,0.57143,0.0657,0.04518,1.15894,5.14385,0.01705,1.93435e-05,1.93435e-05,1.93435e-05
30,145.857,1.69476,6.50323,0.01402,0.01846,0.57143,0.0657,0.04518,1.15894,5.14385,0.01705,1.13352e-05,1.13352e-05,1.13352e-05
